Num,ue,n,var_ue,var_n,cov_ue_n
1,23.371,5.992,0.106,0.323,0.170
2,24.462,8.899,1.692,10.195,3.887
3,22.414,5.361,0.124,0.460,0.207
4,27.628,10.271,1.088,1.460,1.255
5,23.802,7.114,0.107,0.496,0.191
6,23.092,7.975,0.281,1.651,0.582
7,23.263,7.486,0.316,1.695,0.661
8,20.843,4.169,0.389,0.335,0.357
9,24.421,5.645,0.381,0.716,0.507
10,23.716,9.220,0.733,3.656,1.401
11,22.032,5.358,0.094,0.268,0.106
12,21.448,3.166,0.167,0.170,0.001
13,21.631,4.002,0.127,0.106,0.082
14,19.947,2.073,0.015,0.015,0.001
15,20.652,3.338,0.040,0.104,0.021
16,20.588,2.028,0.007,0.011,0.002
17,20.745,1.978,0.010,0.010,-0.001
18,21.658,2.526,0.009,0.058,-0.003
19,19.539,2.043,0.044,0.070,-0.039
20,21.638,3.361,1.909,3.961,-2.557
21,19.863,2.452,0.014,0.019,-0.010
22,18.398,2.199,0.042,0.051,-0.037
23,20.729,1.725,0.013,0.026,0.003
24,20.511,1.906,0.003,0.010,0.001
25,22.140,3.372,0.047,0.108,0.062
26,20.510,2.130,0.004,0.020,0.002
27,20.141,1.897,0.006,0.011,-0.005
